month,enrollment count
2019-03-01,145
2019-04-01,60
2019-05-01,62
2019-06-01,133
2019-07-01,101
2019-08-01,68
2019-09-01,209
2019-10-01,93
2019-11-01,44
2019-12-01,58
2020-01-01,91
2020-02-01,77
2020-03-01,85
2020-04-01,132
2020-05-01,121
2020-06-01,125
2020-07-01,162
2020-08-01,178
2020-09-01,202
2020-10-01,163
2020-11-01,85
2020-12-01,54
2021-01-01,116
2021-02-01,61
2021-03-01,152
2021-04-01,125
2021-05-01,84
2021-06-01,183
2021-07-01,125
2021-08-01,103
2021-09-01,232
2021-10-01,108
2021-11-01,169
2021-12-01,38
2022-01-01,216
2022-02-01,137
2022-03-01,171
2022-04-01,128
2022-05-01,174
2022-06-01,115
